lam,beta,gamma,alpha,final_exploitability
0.7,0.2,5.0,2.0,1.3647638574809663e-12
0.7,0.3,5.0,2.0,1.5281664822452968e-13
0.7,0.4,5.0,2.0,2.471850391039254e-10
0.7,0.5,5.0,2.0,1.3993489866859222e-09
0.7,0.6,5.0,2.0,1.4170969397930832e-10
0.7,0.7,5.0,2.0,1.2733548566679075e-07
0.7,0.8,5.0,2.0,9.298172144460159e-05
0.7,0.9,5.0,2.0,9.411777228424122e-06
0.7,0.99,5.0,2.0,5.7568102715310766e-05
0.8,0.01,5.0,2.0,0.002214478224495109
0.8,0.1,5.0,2.0,2.0151103008458903e-13
0.8,0.2,5.0,2.0,2.0022872249114698e-14
0.8,0.3,5.0,2.0,1.920234565838674e-06
0.8,0.4,5.0,2.0,7.1530979972589396e-09
0.8,0.5,5.0,2.0,3.6546649330171376e-07
0.8,0.6,5.0,2.0,1.430434826887872e-06
0.8,0.7,5.0,2.0,5.451081430685179e-09
0.8,0.8,5.0,2.0,6.407645024508746e-05
0.8,0.9,5.0,2.0,1.0170683627058753e-05
0.8,0.99,5.0,2.0,8.419578645119108e-06
0.9,0.01,5.0,2.0,0.00044195026290716477
0.9,0.1,5.0,2.0,5.2591264676493664e-14
0.9,0.2,5.0,2.0,4.484190796461007e-14
0.9,0.3,5.0,2.0,9.44902489585786e-12
0.9,0.4,5.0,2.0,2.599087611798723e-13
0.9,0.5,5.0,2.0,4.163736022633202e-12
0.9,0.6,5.0,2.0,1.7595929724389947e-07
0.9,0.7,5.0,2.0,2.259696412765244e-08
0.9,0.8,5.0,2.0,1.2463387151828708e-06
0.9,0.9,5.0,2.0,1.276287459772707e-07
0.9,0.99,5.0,2.0,1.5160152825438589e-05
0.99,0.01,5.0,2.0,1.2044357527996042e-08
0.99,0.1,5.0,2.0,4.0666706890846175e-09
0.99,0.2,5.0,2.0,8.412425908099764e-08
0.99,0.3,5.0,2.0,6.734284017523295e-06
0.99,0.4,5.0,2.0,9.423436123895401e-06
0.99,0.5,5.0,2.0,8.03947219650436e-05
0.99,0.6,5.0,2.0,0.0007920431813048578
0.99,0.7,5.0,2.0,0.0014763072607748672
0.99,0.8,5.0,2.0,0.003658498029827817
0.99,0.9,5.0,2.0,0.018219459503942038
0.99,0.99,5.0,2.0,0.1282117375927084
